Traditional,Simplified,Kanji,Hanja,Hanji,Reading,Old,Cantonese,Mandarin,Sino,Native,JGrade,Year Added,Sino,Native,KGrade,Sino-Vietnamese,Part of Speech,Meaning,Radical,Strokes
枕,,,,枕,"jimu, timu","jimu, timu","jam 2 , jam 3 ",zhěn,0,まくら,S,2010,침,베개,H,,,pillow,木,8
親,亲,,,親,jin,jin,"chan 1 , chan 3 ","qīn, qìng",シン,おや、した-しい、した-しむ,2,,친,친할,M,thân,n,parent,見,16
神,,,,神,jin,jin,"san 1 , san 4 ",shén,シン、ジン,かみ、（かん）、（こう）,3,,신,귀신,M,,n,god,示,9
真,,,眞,真,jin,jin,Jan-01,zhēn,シン,ま,3,,진,참,M,,,TRUE,目,10
進,进,,,進,jin,jin,jeun 3 ,jìn,シン,すす-む、すす-める,3,,진,나아갈,M,,,advance,辵,11
盡,尽,尽,,尽,jin,jin,jeun 6 ,jìn,ジン,つ-くす、つ-きる、つ-かす,S,,진,다할,M,,,exhaust,皿,6
唇,,,脣,唇,jin,jin,seun 4 ,chún,シン,くちびる,S,1981,순,입술,H,,,lips,口,10
振,,,,振,jin,jin,Jan-03,zhèn,シン,ふ-る、ふ-るう、ふ-れる,S,,진,떨칠,H,,,shake,手,10
震,,,,震,jin,jin,Jan-03,zhèn,シン,ふる-う、ふる-える,S,,진,진동할,H,,,quake,雨,15
津,,,,津,jin,jin,jeun 1 ,jīn,シン,つ,S,,0,0,0,,,haven,水,9
娠,,,,娠,"jin, sin","jin, sin","san 1 , jan 3 ",shēn,シン,0,S,,0,0,0,,,with child,女,10
診,诊,,,診,"jin, tin","jin, tin","chan 2 , jan 2 ",zhěn,シン,み-る,S,,0,0,0,,,checkup,言,12
乘,,乗,,乗,jinu,jinu,"sing 4 , sing 6 ","chéng, shèng",ジョウ,の-る、の-せる,3,,승,탈,M,,,ride,丿,9
證,证,証,,証,jinu,jinu,jing 3 ,zhèng,ショウ,0,5,,증,증거,M,,,evidence,言,12
蒸,,,,蒸,jinu,jinu,jing 1 ,zhēng,ジョウ,む-す、む-れる、む-らす,6,,증,찔,H,,,steam,艸,13
稱,称,称,,称,jinu,jinu,"chan 3 , ching 1 , ching 3 ","chēng, chèn, chèng",ショウ,0,S,,칭,일컬을,H,,,appellation,禾,10
剩,,剰,,剰,jinu,jinu,"sing 6 , jing 6 ",shèng,ジョウ,0,S,,0,0,0,,,surplus,刀,11
繩,绳,縄,,縄,jinu,jinu,sing 4 ,shéng,ジョウ,なわ,S,1981,0,0,0,,,straw rope,糸,15
昭,,,,昭,jio,jiau,"chiu 1 , jiu 1 ",zhāo,ショウ,0,3,,소,밝을,H,,,shining,日,9
照,,,,照,jio,jiau,jiu 3 ,zhào,ショウ,て-る、て-らす、て-れる,4,,조,비출,H,,,illuminate,火,13
招,,,,招,jio,jiau,jiu 1 ,zhāo,ショウ,まね-く,5,,초,부를,M,,,beckon,手,8
沼,,,,沼,jio,jiau,jiu 2 ,zhǎo,ショウ,ぬま,S,,0,0,0,,,marsh,水,8
焦,,,,焦,jio,jiau,jiu 1 ,jiāo,ショウ,こ-げる、こ-がす、こ-がれる、あせ-る,S,,0,0,0,,,char,火,12
詔,诏,,,詔,jio,jiau,"jiu 3 , jiu 6 ","zhào, zhāo",ショウ,みことのり,S,,0,0,0,,,imperial edict,言,12
礁,,,,礁,jio,jiau,jiu 1 ,jiāo,ショウ,0,S,,0,0,0,,,reef,石,17
集,,,,集,jipu,jipu,jaap 6 ,jí,シュウ,あつ-まる、あつ-める、つど-う,3,,집,모일,M,,,collect,隹,12
執,执,,,執,jipu,jipu,jap 1 ,zhí,シツ、シュウ,と-る,S,,집,잡을,M,,,tenacious,土,11
汁,,,,汁,jipu,jipu,jap 1 ,zhī,ジュウ,しる,S,1981,0,0,0,,,soup,水,5
七,,,,七,jitu,jitu,chat 1 ,"qī, qí",シチ,なな、なな-つ、（なの）,1,,칠,일곱,M,thất,num,seven,一,2
實,实,実,,実,jitu,jitu,sat 6 ,shí,ジツ,み、みの-る,3,,실,열매,M,,,truth,宀,8
疾,,,,疾,jitu,jitu,jat 6 ,jí,シツ,0,S,,질,병,H,,,rapidly,疒,10
漆,,,,漆,jitu,jitu,chat 1 ,qī,シツ,うるし,S,,칠,옻,H,,,lacquer,水,14
叱,,𠮟,,叱,jitu,jitu,chik 1 ,chì,シツ,しか-る,S,2010,0,0,0,,,scold,口,5
質,质,,,質,"jitu, ti","jitu, ti","jat 1 , ji 3 ",zhì,シツ、シチ、（チ）,0,5,,질,바탕,M,,,quality,貝,15
秋,,,,秋,jiu,jiu,chau 1 ,qiū,シュウ,あき,2,,추,가을,M,thu,,autumn,禾,9
週,周,,,週,jiu,jiu,jau 1 ,zhōu,シュウ,0,2,,주,돌,0,"chu, châu",n,week,辵,11
主,,,,主,jiu,jiu,jyu 2 ,zhǔ,シュ、（ス）,ぬし、おも,3,,주,주인,M,,n,master,丶,5
取,,,,取,jiu,jiu,cheui 2 ,qǔ,シュ,と-る,3,,취,취할,M,,,take,又,8
注,,,,注,jiu,jiu,jyu 3 ,zhù,チュウ,そそ-ぐ,3,,주,물댈,M,,,pour,水,8
酒,,,,酒,jiu,jiu,jau 2 ,jiǔ,シュ,さけ、（さか）,3,,주,술,M,,n,alcoholic drink,酉,10
州,,,,州,jiu,jiu,jau 1 ,zhōu,シュウ,す,3,,주,고을,H,,,state,巛,6
周,,,,周,jiu,jiu,jau 1 ,zhōu,シュウ,まわ-り,4,,주,두루,H,,,circumference,口,8
就,,,,就,jiu,jiu,jau 6 ,jiù,シュウ、（ジュ）,つ-く、つ-ける,6,,취,이룰,M,,,concerning,尢,12
朱,,,,朱,jiu,jiu,jyu 1 ,zhū,シュ,0,S,,주,붉을,M,,,vermilion,木,6
愁,,,,愁,jiu,jiu,sau 4 ,chóu,シュウ,うれ-える、うれ-い,S,,수,시름,M,,,distress,心,13
舟,,,,舟,jiu,jiu,jau 1 ,zhōu,シュウ,ふね、（ふな）,S,,주,배,H,,,boat,舟,6
臭,,,,臭,jiu,jiu,chau 3 ,"xiù, chòu",シュウ,くさ-い、にお-う,S,,취,냄새,H,,,stinking,自,9
珠,,,,珠,jiu,jiu,jyu 1 ,zhū,シュ,0,S,,주,구슬,H,,,pearl,玉,10
鑄,铸,鋳,,鋳,jiu,jiu,jyu 3 ,zhù,チュウ,い-る,S,,주,부어 만들,H,,,casting,金,15
醜,丑,,,醜,jiu,jiu,chau 2 ,chǒu,シュウ,みにく-い,S,,추,추할,H,,,ugly,酉,17
呪,,,,呪,jiu,jiu,jau 2 ,zhòu,ジュ,のろ-う,S,2010,0,0,0,,,charm,口,8
樞,枢,枢,,枢,jiu,jiu,syu 1 ,shū,スウ,0,S,,0,0,0,,,hinge,木,8
趣,,,,趣,"jiu, jou","jiu, jou","cheui 3 , chuk 1 ","qù, cù",シュ,おもむき,S,,취,달릴,H,,,gist,走,15
祝,,,,祝,"jiu, juku","jiu, jiuku",juk 1 ,zhù,シュク、（シュウ）,いわ-う,4,,축,빌,M,,,celebrate,示,9
春,,,,春,jiun,jian,cheun 1 ,chūn,シュン,はる,2,,춘,봄,M,"xoan, xuân",n,springtime,日,9
順,顺,,,順,jiun,jian,seun 6 ,shùn,ジュン,0,4,,순,순할,M,,,obey,頁,12
俊,,,,俊,jiun,jian,jeun 3 ,jùn,シュン,0,S,,준,준걸,H,,,genius,人,9
遵,,,,遵,jiun,jian,"jeun 1 , jyun 1 ",zūn,ジュン,0,S,,준,좇을,H,,,abide by,辵,15
准,,,,准,jiun,jian,jeun 2 ,zhǔn,ジュン,0,S,,0,0,0,,,quasi-,冫,10
純,纯,,,純,"jiun, siun","jian, sian","seun 4 , jeun 2 ","chún, zhǔn, tún, quán, zī, zhūn",ジュン,0,6,,순,순수할,M,,,genuine,糸,10
盾,,,,盾,"jiun, tun","jian, tuan","seun 5 , teun 5 ",dùn,ジュン,たて,S,,0,0,0,,,shield,目,9
助,,,,助,jo,jio,jo 6 ,zhù,ジョ,たす-ける、たす-かる、すけ,3,,조,도울,M,,,help,力,7
初,,,,初,jo,jio,cho 1 ,chū,ショ,はじ-め、はじ-めて、はつ、うい、そ-める,4,,초,처음,M,,,first,刀,7
處,处,処,,処,jo,jio,"chyu 2 , chyu 3 , syu 3 ","chǔ, chù",ショ,0,6,,처,곳,M,,,dispose,虍,5
礎,础,,,礎,jo,jio,cho 2 ,chǔ,ソ,いしずえ,S,,초,주춧돌,H,,,cornerstone,石,18
狙,,,,狙,jo,jio,jeui 1 ,jū,ソ,ねら-う,S,2010,0,0,0,,,aim at,犬,8
阻,,,,阻,jo,jio,jo 2 ,zǔ,ソ,はば-む,S,,0,0,0,,,thwart,阜,8
煮,,,,煮,jo,jio,jyu 2 ,zhǔ,シャ,に-る、に-える、に-やす,S,,0,0,0,,,boil,火,12
足,,,,足,joku,jioku,"jeui 3 , juk 1 ",zú,ソク,あし、た-りる、た-る、た-す,1,,족,발,M,túc,,foot,足,7
族,,,,族,joku,joku,juk 6 ,zú,ゾク,0,3,,족,겨레,M,,,tribe,方,11
則,则,,,則,joku,joku,jak 1 ,zé,ソク,0,5,,칙,법칙,M,,,rule,刀,9
促,,,,促,joku,jioku,chuk 1 ,cù,ソク,うなが-す,S,,촉,재촉할,H,,,stimulate,人,9
觸,触,触,,触,joku,jioku,"chuk 1 , juk 1 ",chù,ショク,ふ-れる、さわ-る,S,,촉,닿을,H,,,contact,角,13
賊,贼,,,賊,joku,joku,chaak 6 ,zéi,ゾク,0,S,,적,도둑,H,,,burglar,貝,13
囑,嘱,嘱,,嘱,joku,jioku,juk 1 ,zhǔ,ショク,0,S,,0,0,0,,,entrust,口,15
屬,属,属,,属,"joku, soku","jioku, sioku","suk 6 , juk 1 ","zhǔ, shǔ",ゾク,0,5,,속,엮을,H,,,belong,尸,12
種,种,,,種,jonu,jionu,"jung 2 , jung 3 ","zhǒng, zhòng",シュ,たね,4,,종,씨,M,,,kind,禾,14
增,,増,,増,jonu,jonu,jang 1 ,zēng,ゾウ,ま-す、ふ-える、ふ-やす,5,,증,더할,M,,,increase,土,14
總,总,総,,総,jonu,jonu,jung 2 ,zǒng,ソウ,0,5,,총,거느릴,H,,,whole,糸,14
宗,,,,宗,jonu,jonu,jung 1 ,zōng,シュウ、ソウ,0,6,,종,마루,M,,,religion,宀,8
從,从,従,,従,jonu,jionu,chung 4 ,"cóng, cōng",ジュウ、（ショウ）、（ジュ）,したが-う、したが-える,6,,종,좇을,M,,,obey,彳,10
層,层,,,層,jonu,jonu,chang 4 ,céng,ソウ,0,6,,층,층,H,,,stratum,尸,14
縱,纵,縦,,縦,jonu,jionu,"jung 1 , jung 3 ",zòng,ジュウ,たて,6,,종,늘어질,H,,,vertical,糸,16
曾,,曽,,曽,jonu,jonu,"chang 4 , jang 1 ","céng, zēng",ソウ、（ゾ）,0,S,2010,증,일찍,M,,,formerly,曰,11
鐘,钟,,,鐘,jonu,jionu,jung 1 ,zhōng,ショウ,かね,S,,종,종,M,,,bell,金,20
憎,,,,憎,jonu,jonu,jang 1 ,zēng,ゾウ,にく-む、にく-い、にく-らしい、にく-しみ,S,,증,미워할,H,,,hate,心,14
衝,冲,,,衝,jonu,jionu,"chung 1 , chung 3 ","chōng, chòng",ショウ,0,S,,충,찌를,H,,,collide,行,15
贈,赠,,,贈,jonu,jonu,jang 6 ,zèng,ゾウ、（ソウ）,おく-る,S,,증,보낼,H,,,presents,貝,18
腫,肿,,,腫,jonu,jionu,jung 2 ,zhǒng,シュ,は-れる、は-らす,S,2010,0,0,0,,,tumor,肉,13
踪,,,,踪,jonu,jionu,jung 1 ,zōng,ソウ,0,S,2010,0,0,0,,,remains,足,15
憧,,,,憧,"jonu, tanu","jionu, tanu","chung 1 , tung 4 ",chōng,ショウ,あこが-れる,S,2010,0,0,0,,,desire,心,15
椊,,枠,,枠,jotu,jotu,jyut 6 ,"zuó, cuì",0,わく,S,1981,0,0,0,,,frame,木,8
卒,,,,卒,"jotu, jutu","jiutu, jotu","chyut 3 , jeut 1 ","zú, cù",ソツ,0,4,,졸,군사,M,,,graduate,十,8
走,,,,走,jou,jou,jau 2 ,zǒu,ソウ,はし-る,2,,주,달릴,M,"tẩu, rảo",,run,走,7
奏,,,,奏,jou,jou,jau 3 ,zòu,ソウ,かな-でる,6,,주,아뢸,H,,,play music,大,9
座,,,,座,jua,jua,jo 6 ,zuò,ザ,すわ-る,6,,좌,자리,H,,,sit,广,10
挫,,,,挫,jua,jua,cho 3 ,cuò,ザ,0,S,2010,0,0,0,,,sprain,手,10
川,,,,川,juen,juen,chyun 1 ,chuān,セン,かわ,1,,천,내,M,"xuyên, xiên",n,river,巛,3
船,,,,船,juen,juen,syun 4 ,chuán,セン,ふね、（ふな）,2,,선,배,M,thuyền,n,boat,舟,11
全,,,,全,juen,juen,chyun 4 ,quán,ゼン,まった-く、すべ-て,3,,전,온전할,M,,desc,whole,入,6
泉,,,,泉,juen,juen,chyun 4 ,quán,セン,いずみ,6,,천,샘,M,,,spring,水,9
專,专,専,,専,juen,juen,jyun 1 ,zhuān,セン,もっぱ-ら,6,,전,오로지,H,,,specialty,寸,9
詮,诠,,,詮,juen,juen,chyun 4 ,quán,セン,0,S,2010,0,0,0,,,discussion,言,13
吹,,,,吹,jui,jui,"cheui 1 , cheui 3 ",chuī,スイ,ふ-く,S,,취,불,M,,,blow,口,7
醉,,酔,,酔,jui,jui,jeui 3 ,zuì,スイ,よ-う,S,,취,취할,H,,,drunk,酉,11
炊,,,,炊,jui,jui,cheui 1 ,chuī,スイ,た-く,S,,0,0,0,,,cook,火,8
衰,,,,衰,"jui, sui","jui, sui","cheui 1 , seui 1 ","shuāi, cuī",スイ,おとろ-える,S,,쇠,쇠할,H,,,decline,衣,10
推,,,,推,"jui, tei","jui, tuei","cheui 1 , teui 1 ",tuī,スイ,お-す,6,,추,밀,M,,,infer,手,11
蹴,,,,蹴,juku,jiuku,chuk 1 ,"cù, jiu",シュウ,け-る,S,2010,0,0,0,,,kick,足,19
村,,,,村,jun,juan,chyun 1 ,cūn,ソン,むら,1,,촌,마을,M,"thôn, thon, thun, chon, chôn, thuôn, thuốn, xóm",,village,木,7
寸,,,,寸,jun,juan,chyun 3 ,cùn,スン,0,6,,촌,마디,M,,,measurement,寸,3
存,,,,存,jun,juan,chyun 4 ,cún,ソン、ゾン,0,6,,존,있을,M,,,suppose,子,6
尊,,,,尊,jun,juan,"jeun 1 , jyun 1 ",zūn,ソン,たっと-い、とうと-い、たっと-ぶ、とうと-ぶ,6,,존,높을,M,,,revered,寸,12
終,终,,,終,junu,jiunu,jung 1 ,zhōng,シュウ,お-わる、お-える,3,,종,끝날,M,,,end,糸,11
眾,众,衆,衆,衆,junu,jiunu,jung 3 ,zhòng,シュウ、（シュ）,0,6,,중,무리,M,,,masses,血,12
充,,,,充,junu,jiunu,chung 1 ,chōng,ジュウ,あ-てる,S,,충,찰,M,,,allot,儿,6
崇,,,,崇,junu,jiunu,sung 4 ,chóng,スウ,0,S,,숭,높을,M,,,adore,山,11
銃,铳,,,銃,junu,jiunu,chung 3 ,chòng,ジュウ,0,S,,총,총,H,,,gun,金,14
組,组,,,組,juo,jo,jou 2 ,"zǔ, qū",ソ,く-む、くみ,2,,조,끈,H,"tổ, tê , tây",,association,糸,11
祖,,,,祖,juo,jo,jou 2 ,zǔ,ソ,0,5,,조,조상,M,,,ancestor,示,9
租,,,,租,juo,jo,jou 1 ,zū,ソ,0,S,,조,세금,H,,,tariff,禾,10
措,,,,措,juo,jo,"chou 3 , jaak 3 ",cuò,ソ,0,S,,0,0,0,,,set aside,手,11
粗,,,,粗,juo,jo,chou 1 ,cū,ソ,あら-い,S,,0,0,0,,,coarse,米,11
出,,,,出,jutu,jiutu,cheut 1 ,chū,シュツ、（スイ）,で-る、だ-す,1,,출,날,M,xuất,act,exit,凵,5
述,,,,述,jutu,jiutu,seut 6 ,shù,ジュツ,の-べる,5,,술,지을,H,,,mention,辵,8
術,术,,,術,jutu,jiutu,seut 6 ,shù,ジュツ,0,5,,술,재주,H,,,art,行,11
家,,,,家,ka,ka,"ga 1 , gu 1 ","jiā, jia, jie",カ、ケ,いえ、や,2,,가,집,M,"gia, nhà",n,house,宀,10
歌,,,,歌,ka,ka,go 1 ,gē,カ,うた、うた-う,2,,가,노래,M,"ca, cà",n,song,欠,14
加,,,,加,ka,ka,"ga 1 , ga 3 ",jiā,カ,くわ-える、くわ-わる,4,,가,더할,M,,,add,力,5
可,,,,可,ka,ka,"hak 1 , ho 2 ","kě, kè",カ,0,5,,가,옳을,M,,,possible,口,5
假,,仮,,仮,ka,ka,"ga 2 , ga 3 ","jiǎ, jià",カ、（ケ）,かり,5,,가,거짓,M,,,temporary,人,6
價,价,価,,価,ka,ka,ga 3 ,"jià, jie",カ,あたい,5,,가,값,M,,,value,人,8
個,个,,,個,ka,ka,go 3 ,"gè, gě",コ,0,5,,개,낱,M,,n,individual,人,10
架,,,,架,ka,ka,"ga 2 , ga 3 ",jià,カ,か-ける、か-かる,S,,가,시렁,H,,,rack,木,9
嫁,,,,嫁,ka,ka,ga 3 ,jià,カ,よめ、とつ-ぐ,S,,0,0,0,,,marry into,女,13
箇,个,,,箇,ka,ka,go 3 ,gè,カ,0,S,,0,0,0,,,counters for things,竹,14
稼,,,,稼,ka,ka,ga 3 ,jià,カ,かせ-ぐ,S,1981,0,0,0,,,earnings,禾,15
界,,,,界,kai,kai,gaai 3 ,jiè,カイ,0,3,,계,지경,M,,n,world,田,9
開,开,,,開,kai,kai,hoi 1 ,kāi,カイ,ひら-く、ひら-ける、あ-く、あ-ける,3,,개,열,M,,,open,門,12
階,阶,,,階,kai,kai,gaai 1 ,jiē,カイ,0,3,,계,섬돌,H,,,floor of a building,阜,12
改,,,,改,kai,kai,goi 2 ,gǎi,カイ,あらた-める、あらた-まる,4,,개,고칠,M,,,reformation,攴,7
街,,,,街,kai,kai,gaai 1 ,jiē,ガイ、（カイ）,まち,4,,가,거리,M,,,street,行,12
快,,,,快,kai,kuai,faai 3 ,kuài,カイ,こころよ-い,5,,쾌,쾌할,M,,,cheerful,心,7
屆,届,届,,届,kai,kai,gaai 3 ,jiè,0,とど-ける、とど-く,6,,0,0,0,,,deliver,尸,8
佳,,,,佳,kai,kai,gaai 1 ,jiā,カ,0,S,,가,아름다울,M,,,excellent,人,8
皆,,,,皆,kai,kai,gaai 1 ,jiē,カイ,みな,S,,개,다,M,,,all,白,9
介,,,,介,kai,kai,gaai 3 ,jiè,カイ,0,S,,개,끼일,H,,,jammed in,人,4
戒,,,,戒,kai,kai,gaai 3 ,jiè,カイ,いまし-める,S,,계,경계할,H,,,commandment,戈,7
怪,,,,怪,kai,kuai,gwaai 3 ,guài,カイ,あや-しい、あや-しむ,S,,괴,기이할,H,,,suspicious,心,8
慨,,,,慨,kai,kai,"koi 2 , koi 3 ",kǎi,ガイ,0,S,,개,분개할,H,,,rue,心,13
該,该,,,該,kai,kai,goi 1 ,gāi,ガイ,0,S,,해,그,H,,,above-stated,言,13
概,,,槪,概,kai,kai,"koi 2 , koi 3 ",gài,ガイ,0,S,,개,대개,H,,,outline,木,14
拐,,,,拐,kai,kai,gwaai 2 ,guǎi,カイ,0,S,1981,0,0,0,,,kidnap,手,8
楷,,,,楷,kai,kai,"gaai 1 , kaai 2 ","kǎi, jiē",カイ,0,S,2010,0,0,0,,,square character style,木,13
角,,,,角,kaku,kaku,"gok 3 , luk 6 ","jiǎo, jué",カク,かど、つの,2,,각,뿔,M,"góc, dạc, giác, chác, giốc",,angle,角,7
客,,,,客,kaku,kaku,haak 3 ,kè,キャク、カク,0,3,,객,손님,M,,,guest,宀,9
各,,,,各,kaku,kaku,"go 3 , gok 3 ","gè, gě",カク,おのおの,4,,각,하나하나,M,,,each,口,6
格,,,,格,kaku,kaku,gaak 3 ,"gé, gē",カク、（コウ）,0,5,,격,바로잡을,H,,,status,木,10
確,确,,,確,kaku,kaku,kok 3 ,què,カク,たし-か、たし-かめる,5,,확,굳을,H,,,certain,石,15
革,,,,革,kaku,kaku,"gaak 3 , gaap 3 , gik 1 ","gé, jí",カク,かわ,6,,혁,가죽,M,,,leather,革,9
閣,阁,,,閣,kaku,kaku,gok 3 ,gé,カク,0,6,,각,누각,H,,,tall,門,14
脚,,,,脚,kaku,kiaku,geuk 3 ,"jiǎo, jué",キャク、（キャ）,あし,S,,각,다리,M,,,leg,肉,11
却,,,,却,kaku,kiaku,keuk 3 ,què,キャク,0,S,,각,물리칠,H,,,instead,卩,7
郭,,,,郭,kaku,kuaku,gwok 3 ,guō,カク,0,S,,곽,성곽,H,,,enclosure,邑,11
隔,,,,隔,kaku,kaku,gaak 3 ,gé,カク,へだ-てる、へだ-たる,S,,격,사이 뜰,H,,,isolate,阜,13
殼,壳,殻,,殻,kaku,kaku,hok 3 ,ké,カク,から,S,1981,0,0,0,,,husk,殳,11
覺,觉,覚,,覚,"kaku, kau","kaku, kau","gaau 3 , gok 3 ","jué, jiào",カク,おぼ-える、さ-ます、さ-める,4,,각,깨달을,H,,,memorize,見,12
較,较,,,較,"kaku, kau","kaku, kau",gaau 3 ,"jué, jiào, xiào",カク,0,S,,교,견줄,H,,,contrast,車,13
感,,,,感,kamu,kamu,gam 2 ,gǎn,カン,0,3,,감,느낄,M,,,feeling,心,13
甘,,,,甘,kamu,kamu,gam 1 ,gān,カン,あま-い、あま-える、あま-やかす,S,,감,달,M,,,sweet,甘,5
敢,,,,敢,kamu,kamu,gam 2 ,gǎn,カン,0,S,,감,감히,M,,,daring,攴,12
監,监,,,監,kamu,kamu,"gaam 1 , gaam 3 ","jiàn, jiān",カン,0,S,,감,볼,H,,,oversee,皿,15
鑑,,,,鑑,kamu,kamu,gaam 3 ,jiàn,カン,かんが-みる,S,,감,거울,H,,,specimen,金,23
勘,,,,勘,kamu,kamu,"ham 1 , ham 3 ",kān,カン,0,S,,0,0,0,,,intuition,力,11
紺,绀,,,紺,kamu,kamu,gam 3 ,gàn,コン,0,S,,0,0,0,,,dark blue,糸,11
堪,,,,堪,kamu,kamu,ham 1 ,kān,カン,た-える,S,,0,0,0,,,withstand,土,12
間,间,,,間,kan,kan,"gaan 1 , gaan 3 ","jiàn, jiān, jiǎn",カン、ケン,あいだ、ま,2,,간,사이,M,"gian, dán, gián",n,interval,門,12
根,,,,根,kan,kan,gan 1 ,gēn,コン,ね,3,,근,뿌리,M,,,root,木,10
刊,,,,刊,kan,kan,"hon 1 , hon 2 ",kān,カン,0,5,,간,책 펴낼,H,,,publish,刀,5
幹,干,,,幹,kan,kan,gon 3 ,gàn,カン,みき,5,,간,줄기,H,,,tree-trunk,干,13
干,,,,干,kan,kan,gon 1 ,"gān, gàn",カン,ほ-す、ひ-る,6,,간,방패,M,,,dry,干,3
看,,,,看,kan,kan,"hon 1 , hon 3 ","kàn, kān",カン,0,6,,간,볼,M,,,watch over,目,9
簡,简,,,簡,kan,kan,gaan 2 ,jiǎn,カン,0,6,,간,대쪽,H,,,simplicity,竹,18
肝,,,,肝,kan,kan,gon 1 ,gān,カン,きも,S,,간,간,H,,n,liver,肉,7
懇,恳,,,懇,kan,kan,han 2 ,kěn,コン,ねんご-ろ,S,,간,정성,H,,,sociable,心,17
墾,垦,,,墾,kan,kan,han 2 ,kěn,コン,0,S,,0,0,0,,,ground-breaking,土,16
乾,干,,,乾,"kan, kien","kan, kien","gon 1 , kin 4 ","gān, qián",カン,かわ-く、かわ-かす,S,,건,하늘,M,,,dry,乙,11
廣,广,広,,廣,kanu,kuanu,gwong 2 ,guǎng,コウ,ひろ-い、ひろ-まる、ひろ-める、ひろ-がる、ひろ-げる,2,,광,넓을,M,"quảng, quẳng, quãng, rộng",desc,wide,广,5
光,,,,光,kanu,kuanu,gwong 1 ,guāng,コウ,ひか-る、ひかり,2,,광,빛,M,"quang, cuông, quàng, quăng",n,ray,儿,6
強,强,,强,強,kanu,kianu,"geung 6 , keung 4 , keung 5 ","qiáng, qiǎng, jiàng",キョウ、ゴウ,つよ-い、つよ-まる、つよ-める、し-いる,2,,강,굳셀,M,"càng, cường, cưỡng, gàn, gàng, gượng, ngượng, gương",desc,strong,弓,11
港,,,,港,kanu,kanu,gong 2 ,gǎng,コウ,みなと,3,,항,항구,H,,,harbor,水,12
康,,,,康,kanu,kanu,hong 1 ,kāng,コウ,0,4,,강,편안할,H,,,health,广,11
耕,,,,耕,kanu,kanu,"gaang 1 , gang 1 ",gēng,コウ,たがや-す,5,,경,밭을 갈,M,,,till,耒,10
講,讲,,,講,kanu,kanu,gong 2 ,jiǎng,コウ,0,5,,강,익힐,M,,,lecture,言,17
礦,矿,鉱,鑛,鉱,kanu,kuanu,"gwong 3 , kwong 3 ",kuàng,コウ,0,5,,광,쇳돌,H,,,mineral,金,13
鋼,钢,,,鋼,kanu,kanu,"gong 1 , gong 3 ","gāng, gàng",コウ,はがね,6,,강,강철,H,,,steel,金,16
江,,,,江,kanu,kanu,gong 1 ,jiāng,コウ,え,S,,강,강,M,,n,inlet,水,6
更,,,,更,kanu,kanu,"ang 1 , gaang 1 , gang 1 , gang 3 ","gèng, gēng",コウ,さら、ふ-ける、ふ-かす,S,,갱,다시,M,,,grow late,曰,7
狂,,,,狂,kanu,kuanu,"kong 4 , kwong 4 ",kuáng,キョウ,くる-う、くる-おしい,S,,광,미칠,H,,,lunatic,犬,7
剛,刚,,,剛,kanu,kanu,gong 1 ,gāng,ゴウ,0,S,,강,굳셀,H,,,sturdy,刀,10
綱,纲,,,綱,kanu,kanu,gong 1 ,gāng,コウ,つな,S,,강,벼리,H,,,hawser,糸,14
坑,,,,坑,kanu,kanu,haang 1 ,kēng,コウ,0,S,,0,0,0,,,pit,土,7
梗,,,,梗,kanu,kanu,"gang 2 , gwaang 2 ",gěng,コウ,0,S,2010,0,0,0,,,close up,木,11
控,,,,控,"kanu, konu","kanu, konu",hung 3 ,kòng,コウ,ひか-える,S,,0,0,0,,,withdraw,手,11
甲,,,,甲,kapu,kapu,gaap 3 ,jiǎ,コウ、カン,0,S,,갑,갑옷,M,,,armor,田,5
岬,,,,岬,kapu,kapu,gaap 3 ,jiǎ,0,みさき,S,1981,0,0,0,,,headland,山,8
割,,,,割,katu,katu,got 3 ,gē,カツ,わ-る、わり、わ-れる、さ-く,6,,할,나눌,H,,,divide,刀,12
括,,,,括,katu,kuatu,kut 3 ,"kuò, guā",カツ,0,S,,0,0,0,,,fasten,手,9
葛,,,,葛,katu,katu,got 3 ,"gé, gě",カツ,くず,S,2010,0,0,0,,,arrowroot,艸,12
渴,,渇,,渇,"katu, ketu","katu, ketu",hot 3 ,kě,カツ,かわ-く,S,,갈,목마를,M,,,thirst,水,11
考,,,,考,kau,kau,haau 2 ,kǎo,コウ,かんが-える,2,,고,상고할,M,khảo,desc,think,老,6
交,,,,交,kau,kau,gaau 1 ,jiāo,コウ,まじ-わる、まじ-える、ま-じる、ま-ざる、ま-ぜる、か-う、か-わす,2,,교,사귈,M,giao,,mix,亠,6
高,,,,高,kau,kau,gou 1 ,gāo,コウ,たか-い、たか、たか-まる、たか-める,2,,고,높을,M,"cao, sào",desc,"tall, expensive",高,10
教,,,敎,教,kau,kau,"gaau 1 , gaau 3 ","jiào, jiāo",キョウ,おし-える、おそ-わる,2,,교,가르칠,M,"giáo, dáo, ráu, tráo",,teach,攴,11
巧,,,,巧,kau,kau,"haau 2 , kiu 2 ",qiǎo,コウ,たく-み,S,,교,공교할,H,,,adroit,工,5
郊,,,,郊,kau,kau,gaau 1 ,jiāo,コウ,0,S,,교,성 밖,H,,,outskirts,邑,9
稿,,,,稿,kau,kau,gou 2 ,gǎo,コウ,0,S,,고,볏집,H,,,draft,禾,15
