Traditional,Simplified,Kanji,Hanja,Hanji,Reading,Old,Cantonese,Mandarin,Sino,Native,JGrade,Year Added,Sino,Native,KGrade,Sino-Vietnamese,Part of Speech,Meaning,Radical,Strokes
驗,验,験,,験,emu,emu,yim 6 ,yàn,ケン、（ゲン）,0,4,,험,시험할,H,,,test,馬,18
嚴,严,厳,,厳,emu,yemu,yim 4 ,yán,ゲン、（ゴン）,おごそ-か、きび-しい,6,,엄,엄할,M,,,strict,口,17
炎,,,,炎,emu,emu,yim 4 ,yán,エン,ほのお,S,,염,불탈,M,,,inflammation,火,8
俺,,,,俺,emu,"emu, yemu",yim 3 ,ǎn,0,おれ,S,2010,0,0,0,,,"I, we",人,10
豔,,艶,,艶,emu,yemu,yim 6 ,yàn,エン,つや,S,2010,0,0,0,,,glossy,色,19
研,,研,硏,研,en,en,"yin 4 , yin 6 , ngaan 4 ","yán, yàn",ケン,と-ぐ,3,,연,갈,M,"nghiên, tên, nghiền, nghiện",,sharpen,石,9
煙,烟,,,煙,en,en,yin 1 ,yān,エン,けむ-る、けむり、けむ-い,S,,연,연기,M,,,smoke,火,13
宴,,,,宴,en,en,yin 3 ,yàn,エン,0,S,,연,잔치,H,,,banquet,宀,10
咽,,,,咽,"en, etu","en, etu","yin 1 , yin 3 , yit 3 ","yān, yàn, yè",イン,0,S,2010,0,0,0,,,throat,口,9
英,,,,英,enu,yenu,ying 1 ,yīng,エイ,0,4,,영,꽃부리,M,,,England,艸,8
營,营,営,,営,enu,yenu,ying 4 ,yíng,エイ,いとな-む,5,,영,경영할,H,,,manage,火,12
迎,,,,迎,enu,yenu,"ying 4 , ying 6 ",yíng,ゲイ,むか-える,S,,영,맞이할,M,,,welcome,辵,7
影,,,,影,enu,yenu,"yeng 2 , ying 2 ",yǐng,エイ,かげ,S,,영,그림자,H,,,shadow,彡,15
葉,叶,,,葉,epu,yepu,"yip 6 , sip 3 ",yè,ヨウ,は,3,,엽,잎,M,,,leaf,艸,12
業,业,,,業,epu,yepu,yip 6 ,yè,ギョウ、ゴウ,わざ,3,,업,업,M,nghiệp,,business,木,13
悅,悦,悦,,悦,etu,yuetu,yut 6 ,yuè,エツ,0,S,,열,기쁠,M,,,ecstasy,心,10
謁,谒,,,謁,etu,etu,"yit 3 , kit 3 ","yè, ǎi",エツ,0,S,,알,뵐,H,,,audience,言,15
閱,阅,閲,,閲,etu,yuetu,yut 6 ,yuè,エツ,0,S,,열,검열할,H,,,review,門,15
說,说,説,,説,"etu, sei, setu","suei, suetu, yuetu","yut 6 , seui 3 , syut 3 ","shuō, shuì, yuè",セツ、（ゼイ）,と-く,4,,설,말씀,M,,,theory,言,14
下,,,,下,ha,ha,"ha 5 , ha 6 ",xià,カ、ゲ,した、しも、もと、さ-げる、さ-がる、くだ-る、くだ-す、くだ-さる、お-ろす、お-りる,1,,하,아래,M,hạ,post,below,一,3
何,,,,何,ha,ha,"ho 4 , ho 6 ",hé,カ,なに、（なん）,2,,하,어찌,M,"hà, gã",pn,what,人,7
夏,,,,夏,ha,ha,ha 6 ,xià,カ、（ゲ）,なつ,2,,하,여름,M,"hạ, hè",n,summer,夊,10
荷,,,,荷,ha,ha,"ho 4 , ho 6 ","hé, hè",カ,に,3,,하,연,H,hà,,luggage,艸,10
河,,,,河,ha,ha,ho 4 ,hé,カ,かわ,5,,하,물,M,,n,river,水,8
賀,贺,,,賀,ha,ha,ho 6 ,hè,ガ,0,5,,하,하례,M,,,congratulations,貝,12
暇,,,,暇,ha,ha,ha 6 ,xiá,カ,ひま,S,,가,겨를,H,,,spare time,日,13
苛,,,,苛,ha,ha,ho 1 ,kē,カ,0,S,2010,0,0,0,,,torment,艸,8
嚇,吓,,,嚇,"ha, haku","ha, haku","haak 1 , haak 3 ","hè, xià",カク,0,S,,0,0,0,,,menacing,口,17
